mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,769.27,459,3,0.0037,0.0007,8.9,0.1,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,,996.07,232,3,0.0036,0.0005,8.3,0.1,1NU,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,0.000000000196,159.00,1069,3,97.0,0.5,5.255,0.004,A,21.5,1.4,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,0.000000000013,505.34,723,3,0.405,0.011,7.28,0.01,A,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,,697.53,530,3,0.406,0.013,7,0.02,A,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,0.000000000000045,894.77,333,3,0.074,0.003,7.31,0.02,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,,1068.16,160,3,0.0079,0.0008,7.55,0.05,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,0.0000000307,489.73,738,3,0.0026,0.0014,9.5,0.3,A,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,,687.97,540,3,1.51,0.05,6.45,0.02,A,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,0.000000000000052,783.61,444,3,0.150,0.004,7.27,0.02,A,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,0.000000000000043,1036.65,191,3,0.0028,0.0011,8.2,0.2,A,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,0.000000000022,440.01,788,3,0.424,0.013,7.34,0.02,A,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19
,,,,,532.82,695,3,0.0044,0.0005,9.21,0.05,1NU,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-19

