energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
166.04,0.24,0.008177,0.0031459671009087175,,3001.12,,2834.88,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
307.34,0.1,0.020757,0.0025237789126625176,,3001.12,,2693.73,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
335.67,0.13,0.017612,0.003149483925978985,,2293.68,,1957.93,E1,,,0.00707,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
351.47,0.13,0.022644,0.003152408761566304,,2834.88,,2483.32,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
381.7,0.5,0.017612,0.0012691682315595517,,,,,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
402.8,0.2,0.014467,0.003148026207006543,,2886.00,,2483.32,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
443.88,0.08,0.03774,0.003165537079233159,,2483.32,,2039.34,M1+E2,,,0.0121,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
478.7,0.5,0.027047,0.002529193547358525,,,,,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
517.8,0.09,0.023902,0.0031532537164015205,,3001.12,,2483.32,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
525.45,0.07,0.032708,0.00253527118865024,,2483.32,,1957.93,M1+E2,,,0.0077,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
541.19,0.04,0.214489,0.0037519516254877275,,2834.88,,2293.68,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
550.75,0.24,0.00629,0.02516007154202865,,2886.00,,2335.05,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
557.14,0.21,0.008177,0.002517208771635758,,1882.65,,1325.51,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
592.34,0.04,0.114478,0.002742757736293893,,2886.00,,2293.68,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
602.73,0.08,62.9,0.708823504124969,,602.74,,0.0,E2,,,0.00490,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
609.92,0.08,0.154105,0.00524232047856672,,2834.88,,2224.96,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
645.85,0.08,0.996336,0.01139693450011888,,1248.60,,602.74,E2,,,0.00409,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
662.1,0.08,0.055981,0.0019611030059637356,,2701.53,,2039.34,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
707.46,0.08,0.091834,0.00266413813455684,,3001.12,,2293.68,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
709.36,0.09,0.045917,0.002553840245590941,,1957.93,,1248.60,M1+E2(+E0),-0.18,5,0.00402,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
713.75,0.08,0.077996,0.0020283749653355514,,2039.34,,1325.51,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
722.78,0.08,10.35963,0.11714009731940639,,1325.51,,602.74,M1+E2(+E0),-3.4,3,0.00314,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
743.19,0.11,0.0124542,0.0010133875862669722,,2834.88,,2091.67,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
743.2,0.3,0.016983,0.004405979232815334,,2701.53,,1957.93,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
766.09,0.25,0.0048433,0.0012588480607285376,,2091.67,,1325.51,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
776.1,0.11,0.0121397,0.001013040275606059,,3001.12,,2224.96,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
790.76,0.08,0.0259148,0.0010975018587683577,,2039.34,,1248.60,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
795.63,0.08,0.0371739,0.0011265627590152268,,2834.88,,2039.34,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
846.8,0.3,0.0057868,0.0013849005307241384,,2886.00,,2039.34,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
876.97,0.09,0.0233988,0.0010923464331428928,,2834.88,,1957.93,,,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
