energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
79.6142,0.0012,0.44,0.18,,160.6121,0.000000006283,80.9979,M1+E2,0.124,15,1.77,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
80.9979,0.0011,36.9,0.3,0.000000006283,80.9979,,0.0,M1+E2,0.158,5,1.703,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
160.612,0.0016,0.1066,0.0012,,160.6121,,0.0,M1+E2,0.96,5,0.294,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
223.2368,0.0013,0.000137,0.000018,,383.8491,,160.6121,M1+E2,-0.114,14,0.0975,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
233.221,0.015,10.12,0.15,189907.2,233.221,453384,0.0,M4+E5,0.10,8,8.88,,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
302.8508,0.0005,0.0055,0.0008,,383.8491,0.000000006283,80.9979,M1+E2,0.022,20,0.0434,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
383.8485,0.0012,0.0027,0.0004,,383.8491,,0.0,E2,,,0.0202,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
4.54,,5.937744032,1.2831728270955534,,,,,,,,,,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
4.749,,5.817938627574736,0.2931907306686286,,,,,,,,,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
29.458,,11.24494469213099,3.5828685249313694,,,,,,,,,,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
29.778,,20.831687091758038,6.636698782993635,,,,,,,,,,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
30.625,,13.58900495116634,0.24606863115151884,,,,,,,,,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
30.973,,25.104387495226934,0.4395534993682928,,,,,,,,,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
33.726,,6.0390228285687515,1.9250904130403568,,,,,,,,,,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
34.03,,7.464232216110977,2.3792201523996193,,,,,,,,,,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
34.414,,1.4252093875422254,0.45532364599860814,,,,,,,,,,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
35.089,,7.3343263174111994,0.15096674119270398,,,,,,,,,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
35.414,,9.123901938859532,0.18418745284536073,,,,,,,,,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18
35.818,,1.7895756214483327,0.05197779310450138,,,,,,,,,,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-09-18

