energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
11.242,0.007,1.0836,0.07177994148785578,0.0000000466,11.239,65171363.5227274,0.0,M1+E2,0.016,1,90.9,,55,79,Cs,,138.7441,0.0026,8-,2.912,,2,h,10483.2,7.2,IT,100,,,,55,79,Cs,31-Jul-2004,A.A. Sonzogni,2026-09-18
127.502,0.003,12.6,0.4,10483.2,138.741,0.0000000466,11.239,E3,,,6.89,,55,79,Cs,,138.7441,0.0026,8-,2.912,,2,h,10483.2,7.2,IT,100,,,,55,79,Cs,31-Jul-2004,A.A. Sonzogni,2026-09-18
138.733,0.011,0.003906,0.0002808558349046713,10483.2,138.741,65171363.5227274,0.0,M4,,,131.9,,55,79,Cs,,138.7441,0.0026,8-,2.912,,2,h,10483.2,7.2,IT,100,,,,55,79,Cs,31-Jul-2004,A.A. Sonzogni,2026-09-18
232.6,,0.0010999967,0.0000000011,0.00000000000083,1400.591,,1167.970,[E2],,,0.104,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
242.738,0.008,0.027,0.003,0.000000000078,1643.335,0.00000000000083,1400.591,(M1+E2),,,0.088,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
326.589,0.013,0.0162,0.001,,1969.923,0.000000000078,1643.335,[M1+E2],,,0.037,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
475.365,0.002,1.477,0.007,0.000000000078,1643.335,,1167.970,M1+E2,-6,4,0.01139,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
563.246,0.005,8.338,0.014,,1167.970,,604.7230,M1+E2,-7.4,9,0.00727,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
569.331,0.003,15.373,0.017,,1969.923,0.00000000000083,1400.591,M1+E2,0.28,3,0.00956,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
604.721,0.002,97.62,0.11,,604.7230,,0.0,E2,,,0.00599,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
795.864,0.004,85.46,0.06,0.00000000000083,1400.591,,604.7230,E2,,,0.00305,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
801.953,0.004,8.688,0.016,,1969.923,,1167.970,E2,,,0.00300,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
847,0.2,0.0003,0.00014,,847.0,,0.0,E2,,,0.00237,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,EC,0.0003,0.0001,1234.669,17,54,80,Xe,31-Jul-2004,A.A. Sonzogni,2026-09-18
1038.61,0.007,0.99,0.003,0.000000000078,1643.335,,604.7230,M1+E2,0.76,14,0.00208,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
1167.968,0.005,1.79,0.005,,1167.970,,0.0,E2,,,0.00131,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-2004,A.A. Sonzogni,2026-09-18
