energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
7.5,,0.39,0.04,,7.5,,0.0,M1,,,2E+2,,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-09-18
11.9,,0.004,0.004,,65.475,,53.533,[M1 E2],,,1.9E+4,,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-09-18
14.06383,0.0002,,,,97.43099,,83.36722,E1,,,10.89,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
19.81296,0.00005,0.000104,0.000021,0.00000000387,103.18018,,83.36722,E2,,,3.22E3,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
32.9,0.1,50.1,2.975905912491186,0.0106,98.39,,65.475,[E1],,,0.996,,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-09-18
46.1,0.1,2.2044,0.363814142111051,,53.533,,7.5,M1+E2,1.0,8,24,,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-09-18
53.6,0.1,0.8517,0.20386005003433114,,53.533,,0.0,E2,,,25.6,,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-09-18
54.1934,0.0004,0.00125302,0.00034974767590364346,,151.6239,,97.43099,M1(+E2),,,18.4,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
58,0.1,1.1523,0.2066894288540176,,65.475,,7.5,(E2),,,18.6,,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-09-18
68.2557,0.0005,0.00125302,0.00037888247095900333,,151.6239,,83.36722,E1,,,0.790,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
69.673,0.00013,4.668228,0.041042153208621986,,172.85318,0.00000000387,103.18018,M1+E2,0.136,4,5.31,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
75.42213,0.00023,0.192324,0.026247251513253727,,172.85318,,97.43099,E1+M2,0.055,10,0.76,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
83.36717,0.00021,0.190867,0.004778731815032101,,83.36722,,0.0,E2+M1,0.81,4,3.76,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
89.48595,0.00022,0.157356,0.008784592193152736,,172.85318,,83.36722,M1+E2,0.25,10,2.60,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
96.8825,0.0007,0.007285,0.00004,,269.7355,,172.85318,E2(+M1),,,2.4,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
97.431,0.00021,0.763468,0.012386896302141227,,97.43099,,0.0,E1,,,0.305,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
103.18012,0.00017,29.14,0.16,0.00000000387,103.18018,,0.0,E2+M1,0.119,3,1.694,,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-09-18
