energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
19.84,0.006,7,3,0.000185,190.904,,171.072,E1,,,4.79,,67,99,Ho,,190.9021,0.002,3+,185,,15,us,0.000185,0.000015,IT,100,,,,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
54.239,0.002,3,0.5,0.00000000344,54.239,96566.4,0.0,E2,,,31.3,,67,99,Ho,,190.9021,0.002,3+,185,,15,us,0.000185,0.000015,IT,100,,,,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
73.45,0.02,0.00144,0.000008,,859.384,,785.933,M1,,,6.92,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
80.574,0.004,11.9664,0.10901628502200944,0.00000000183,80.574,,0.0,E2,,,6.78,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
80.576,0.002,6.56464,0.12570136673879087,0.000000001815,80.5775,,0.0,E2,,,6.78,,67,99,Ho,,0,,0-,26.824,,12,h,96566.4,43.2,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
94.674,0.003,0.1404,0.0022965191050805566,,1786.969,,1692.292,[M1],,,3.33,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
96.85,0.05,0.0022104,0.00011585265814818407,,956.227,,859.384,E2,,,3.32,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
116.835,0.003,13,5,,171.072,0.00000000344,54.239,M1,,,1.673,,67,99,Ho,,190.9021,0.002,3+,185,,15,us,0.000185,0.000015,IT,100,,,,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
119.041,0.003,0.1692,0.00442108583947428,0.00000000006,1075.271,,956.227,(M1+E2),1.94,22,1.579,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
121.175,0.003,0.252,0.003862641583165593,,1786.969,,1665.795,[E2],,,1.442,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
135.26,0.004,0.098208,0.0014727876153743282,,1827.552,,1692.292,[E2],,,0.970,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
136.662,0.004,50,10,0.000185,190.904,0.00000000344,54.239,E1,,,0.1378,,67,99,Ho,,190.9021,0.002,3+,185,,15,us,0.000185,0.000015,IT,100,,,,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
140.692,0.006,0.042048,0.0007569471315752508,,1215.963,0.00000000006,1075.271,[M1 E2],,,0.96,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
160.076,0.005,0.09288,0.005783066314681166,,1376.029,,1215.963,[M1 E2],,,0.64,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
161.731,0.008,0.108,0.002941836161311503,,1827.552,,1665.795,[M1 E2],,,0.62,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
170.288,0.023,0.013968,0.0003682685976295019,,956.227,,785.933,E2,,,0.434,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
184.4,0.1,0.0015674,0.0003693637773252813,,265.02,0.000000001815,80.5775,E2,,,0.331,,67,99,Ho,,0,,0-,26.824,,12,h,96566.4,43.2,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
184.4113,0.0024,72,0.4,0.000000000118,264.987,0.00000000183,80.574,E2,,,0.331,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
190.762,0.015,0.21384,0.002465145837470879,,1786.969,,1596.232,[E2],,,0.295,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
214.807,0.008,0.43488,0.0062461713072889695,,1786.969,,1572.177,[E2],,,0.199,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
215.8887,0.0021,2.5704,0.01632926207763229,0.00000000006,1075.271,,859.384,[E2],,,0.195,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
231.318,0.008,0.20592,0.0024442454868527424,,1827.552,,1596.232,[E2],,,0.1561,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
255.2,0.12,0.004248,0.0009362974740967744,,1827.552,,1572.177,[E2],,,0.1140,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
259.74,0.003,1.05696,0.008225447343457985,,1215.963,,956.227,[E2],,,0.1079,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
280.464,0.002,29.3616,0.17830348959008066,,545.451,0.000000000118,264.987,E2,,,0.0849,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
300.755,0.004,3.6936,0.02979312672412884,,1376.029,0.00000000006,1075.271,E2(+M3),-0.018,16,0.0691,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
304.91,0.05,0.01944,0.0028820242885860626,,1215.963,,911.204,,,,,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
339.751,0.021,0.159912,0.0017536814305910866,,1555.739,,1215.963,(E2),,,0.0477,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
365.76,0.005,2.448,0.019807069445023914,,911.204,,545.451,E2,,,0.0385,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
410.797,0.016,0.016632,0.0005124,,956.227,,545.451,E2,,,,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
410.949,0.007,11.2032,0.0757631678323973,,1786.969,,1376.029,E1+M2,-0.010,5,0.00873,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
449.8,0.1,0.04752,0.00720483837431486,,,,,,,,,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
451.542,0.007,2.9088,0.03302401550387233,,1827.552,,1376.029,E1+M2,-0.0023,22,0.00706,,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-09-18
