energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
14.05,0.01,0.1472,0.0023,1.09,1315.4502,,1301.4004,[M1+E2],,,217,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-2019,F.G. KONDEV,2026-09-18
55.15,0.02,1.955,0.022,1.09,1315.4502,,1260.2817,[E1],,,0.333,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-2019,F.G. KONDEV,2026-09-18
69.2,0.1,0.0099,0.0011,,1086.9662,,1017.7911,[E1],,,0.919,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-2019,F.G. KONDEV,2026-09-18
71.6418,0.0006,0.164,0.005,0.000000000665,321.3162,0.000000000107,249.6744,E1+M2,-0.018,9,0.89,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-2019,F.G. KONDEV,2026-09-18
71.6418,0.0006,0.876,0.026,0.000000000665,321.3162,0.000000000107,249.6744,E1+M2,-0.018,9,0.89,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-2019,F.G. KONDEV,2026-09-18
88.4,0.1,0.043,0.005,,882.8611,,794.4394,[E1],,,0.494,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-2019,F.G. KONDEV,2026-09-18
105.3589,0.0004,12.68,0.04,0.00000000004,426.6752,0.000000000665,321.3162,M1+E2,-0.330,13,3.39,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-2019,F.G. KONDEV,2026-09-18
112.9498,0.0004,6.23,0.04,0.000000000541,112.9498,,0.0,M1+E2,-4.77,19,2.23,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-2019,F.G. KONDEV,2026-09-18
112.9498,0.0004,21.4,0.4,0.000000000541,112.9499,,0.0,M1+E2,-4.77,19,2.23,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-2019,F.G. KONDEV,2026-09-18
115.8682,0.0023,0.658,0.012,13858560,970.1757,,854.3067,E3,,,33.5,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,IT,22.7,0.08,,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2026-09-18
