energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2.636,0.003,0.000000000038,0.000000000006,1115.4,171.98,,169.445,(M3),,,1.6E+12,,75,113,Re,,172.0848,0.0024,6-,18.59,,4,m,1115.4,2.4,IT,100,,,,75,113,Re,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
13.3932,0.002,,,,169.445,,156.047,,,,,,75,113,Re,,172.0848,0.0024,6-,18.59,,4,m,1115.4,2.4,IT,100,,,,75,113,Re,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
15.93,0.1,0.00000198,0.00000011,1115.4,171.98,,156.047,M3,,,1.96E7,,75,113,Re,,172.0848,0.0024,6-,18.59,,4,m,1115.4,2.4,IT,100,,,,75,113,Re,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
63.583,0.003,22.3,0.5,0.000000000056,63.583,,0.0,M1+E2,0.061,23,3.42,,75,113,Re,,172.0848,0.0024,6-,18.59,,4,m,1115.4,2.4,IT,100,,,,75,113,Re,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
92.464,0.003,5.2,0.3,,156.047,0.000000000056,63.583,M1+E2,0.44,13,6.34,,75,113,Re,,172.0848,0.0024,6-,18.59,,4,m,1115.4,2.4,IT,100,,,,75,113,Re,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
105.853,0.0003,11.5,0.5,,169.445,0.000000000056,63.583,M1+E2,0.44,19,4.21,,75,113,Re,,172.0848,0.0024,6-,18.59,,4,m,1115.4,2.4,IT,100,,,,75,113,Re,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
155.044,0.004,15.49,0.06,0.000000000704,155.044,,0.0,E2,,,0.810,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
156.05,0.006,0.38,0.05,,156.047,,0.0,[E2],,,0.759,,75,113,Re,,172.0848,0.0024,6-,18.59,,4,m,1115.4,2.4,IT,100,,,,75,113,Re,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
169.441,0.005,0.51,0.05,,169.445,,0.0,[E2],,,0.566,,75,113,Re,,172.0848,0.0024,6-,18.59,,4,m,1115.4,2.4,IT,100,,,,75,113,Re,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
218.5,0.5,0.000325,0.000014,,1304.83,,1086.39,[E2],,,0.247,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
222.3,,,,,1842.86,,1620.48,,,,,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
271.8,0.5,0.0000075,0.0000013,,1729.55,,1457.41,[M1+E2],,,0.339,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
279.6,,,,,1965.00,,1685.30,,,,,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
309.6,0.04,0.002044,,,,,,,,,,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
312,0.02,0.00559,0.00021,,789.967,,477.966,E2(+M1),,,0.233,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
322.92,0.02,0.0171,0.0003,,477.966,0.000000000704,155.044,E2,,,0.0736,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
347.2,,,,,1824.93,,1478.09,E0,,,,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
350,,0.0034,0.0006,,1807.60,,1457.41,E2,,,0.0584,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
385.46,0.05,0.000109,0.000011,,1842.86,,1457.41,M1+E2,1.2,6,0.080,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
424.71,0.15,0.0000095,0.0000017,,1729.55,,1304.83,M1+E2,1.2,LE,0.082,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
448.1,0.1,0.00081,0.00006,,1413.83,,965.72,[E1],,,0.00973,,75,113,Re,,0,,1-,17.005,,3,h,61218,10.8,B-,100,,2120.42,15,76,112,Os,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2026-09-18
