energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
50.5,,,,,696.51,,645.92,,,,,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
97.21,0.05,68.53,4.704944207958262,0.000000124,312.10,,214.89,E1,,,0.445,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
115.2,1.5,0.04004,0.003884958172233004,196300.8,811.7,,696.51,(M4),,,2.49E3,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
180.31,0.05,49.28,4.664118351843143,,696.51,,516.20,E2,,,0.537,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
204.1,0.06,38.5,4.646977512319164,,516.20,0.000000124,312.10,M1,,,0.959,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
214.89,0.05,77,1,,214.89,232770.24,0.0,E2,,,0.294,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
333.82,0.15,17.71,3.8568640110846535,,645.92,0.000000124,312.10,M1,,,0.248,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
411.80205,0.00017,95.62,0.06,0.00000000002315,411.80250,,0.0,E2,,,0.0439,,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
675.8836,0.0007,0.8051204,0.004807617709427404,0.0000000000404,1087.6874,0.00000000002315,411.80250,M1+E2,1.07,14,0.0267,,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
1087.6842,0.0007,0.15892044,0.0018195146734225585,0.0000000000404,1087.6874,,0.0,E2,,,0.00512,,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
11.419,,57.3458926502,4.009346105306688,,,,,,,,,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
11.777,,1.1924050708503529,0.049443924741080884,,,,,,,,,,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
66.991,,24.410769081240037,1.221970542205918,,,,,,,,,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
68.806,,41.55731883084787,2.0727714843529577,,,,,,,,,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
68.894,,0.8074709248017369,0.014500325307967729,,,,,,,,,,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
70.82,,1.3688267923406288,0.023886655018281657,,,,,,,,,,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
78.048,,14.022696732282458,0.7304519061682827,,,,,,,,,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
78.983,,18.075256087912088,0.938938348850832,,,,,,,,,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
80.133,,4.05255935562963,0.22243957445595902,,,,,,,,,,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
80.316,,0.46454614843874176,0.010664743135542795,,,,,,,,,,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-09-18
