energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
24.2,,0.0105,0.0014,0.00000007,2641.4,,2617.2,[E2],,,7.23E3,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
96,0.5,7,2,0.00000005,1416.6,,1320.6,E2,,,9.0,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
149.697,0.007,0.00005016,0.0000001,,892.45,,742.75,M1(+E2),0.6,LT,3.0,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
203.7,0.5,40,4,,4381.1,0.00000001,4177.4,M1+E2,0.8,4,1.2,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
222.69,0.009,0.00003553,0.00000007,,892.45,,669.76,M1(+E2),0.51,LE,0.98,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
253.5,0.5,82,0,,1320.6,,1067.1,E2,,,0.223,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
435.1,0.5,89,10,0.00000423,4816.2,,4381.1,E3,,,0.184,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
511.2,0.5,105,15,,1927.8,0.00000005,1416.6,M1,,,0.1306,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
669.78,0.11,0.0037,0.0003,,669.76,995621014.4983776,0.0,M1+E2,0.24,4,0.0522,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
687,0.1,0.261,0.012,,687.00,,0.0,M1+E2,-0.20,2,0.0536,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,EC,58.2,0.08,785,3,84,127,Po,28-FEB-2013,J.K. Tuli and  P. Blokhin and  J. Kaur and  J.Y. Lee and N. Sharma,2026-09-18
689.4,0.5,79,10,,2617.2,,1927.8,(E1),,,0.00562,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
713.6,0.5,23,5,0.00000007,2641.4,,1927.8,E3,,,0.0417,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
742.72,0.15,0.001,0.0003,,742.75,995621014.4983776,0.0,M1+E2,0.334,10,0.0386,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
892.4,0.3,0.0001421,0.0000003,,892.45,995621014.4983776,0.0,E2+M1,1.4,2,0.0145,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
1067.1,0.5,109,11,,1067.1,,0.0,(E2),,,0.00683,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
1536,1,97,10,0.00000001,4177.4,0.00000007,2641.4,,,,,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
12.904,,0.00012562498436301,,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
13.292,,18.5979178802508,0.7441856204716918,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,EC,58.2,0.08,785,3,84,127,Po,28-FEB-2013,J.K. Tuli and  P. Blokhin and  J. Kaur and  J.Y. Lee and N. Sharma,2026-09-18
13.686,,75.89381696,10.170587976616854,,,,,,,,,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
74.815,,0.00008942585235045495,,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
76.862,,12.652855382795742,0.08827326875791996,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,EC,58.2,0.08,785,3,84,127,Po,28-FEB-2013,J.K. Tuli and  P. Blokhin and  J. Kaur and  J.Y. Lee and N. Sharma,2026-09-18
77.108,,0.00014961661761829506,,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
78.947,,18.622771339894175,3.783208533958274,,,,,,,,,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
79.29,,21.070533526720638,0.1179574073832422,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,EC,58.2,0.08,785,3,84,127,Po,28-FEB-2013,J.K. Tuli and  P. Blokhin and  J. Kaur and  J.Y. Lee and N. Sharma,2026-09-18
81.517,,30.86817725823666,6.2695530997095,,,,,,,,,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
87.388,,0.000051249534143376716,,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
88.458,,0.00006693189159125,,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
89.784,,0.000015682357447873275,,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,A,41.8,0.08,5982.4,13,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-09-18
89.837,,7.254001275731213,0.11346031818162428,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,EC,58.2,0.08,785,3,84,127,Po,28-FEB-2013,J.K. Tuli and  P. Blokhin and  J. Kaur and  J.Y. Lee and N. Sharma,2026-09-18
90.941,,9.509995672483619,0.14425671941956594,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,EC,58.2,0.08,785,3,84,127,Po,28-FEB-2013,J.K. Tuli and  P. Blokhin and  J. Kaur and  J.Y. Lee and N. Sharma,2026-09-18
92.315,,2.255994396752407,0.05060263211008835,,,,,,,,,,85,126,At,,0,,9/2-,7.214,,7,h,25970.4,25.2,EC,58.2,0.08,785,3,84,127,Po,28-FEB-2013,J.K. Tuli and  P. Blokhin and  J. Kaur and  J.Y. Lee and N. Sharma,2026-09-18
92.333,,10.688539469102022,2.1764498245879196,,,,,,,,,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
93.473,,14.055429401869157,2.8615325082473984,,,,,,,,,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18
94.897,,3.366889932767137,0.6876615316194858,,,,,,,,,,85,126,At,,4814.5,0.5,(39/2-),4.23,,7,us,0.00000423,0.00000007,IT,100,,,,85,126,At,28-FEB-2013,B. SINGH and  S. SINGH and  H.X. Nguyen and M. Patial,2026-09-18

