energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
147.66,0.05,0.0149,0.0012,0.000000000093,440.446,0.000000000078,292.805,(E2),,,1.454,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
292.8,0.01,0.419,0.008,0.000000000078,292.805,0.000003706,0.0,M1+E2,1.0,5,0.34,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
323.7,0.02,0.167,0.003,,323.70,,0.0,M1+E2,1.30,21,0.174,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,A,2.14,0.01,5988,3,81,128,Tl,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2026-09-18
402.8,0.3,0.0001,0.00003,,1003.605,,600.87,[E2],,,0.0552,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
440.45,0.01,25.9,0.2,0.000000000093,440.446,0.000003706,0.0,M1+E2,0.39,17,0.161,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
544.9,0.3,0.0167,0.0024,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,A,2.14,0.01,5988,3,81,128,Tl,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2026-09-18
574.9,0.3,0.0025,0.001,,867.98,0.000000000078,292.805,[M1+E2],,,0.056,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
600.9,0.2,0.0043,0.0008,,600.87,0.000003706,0.0,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
604.94,0.21,0.0023,0.0006,,1045.65,0.000000000093,440.446,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
646.03,0.09,0.00229,0.00022,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
659.75,0.02,0.0374,0.0021,,1100.173,0.000000000093,440.446,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
710.82,0.03,0.0114,0.0005,,1003.605,0.000000000078,292.805,[M1+E2],,,0.033,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
807.36,0.01,0.289,0.007,,1100.173,0.000000000078,292.805,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
826.55,0.05,0.0067,0.0005,,1119.38,0.000000000078,292.805,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
867.98,0.03,0.0118,0.0006,,867.98,0.000003706,0.0,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
880.91,0.01,0.0041,0.0005,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
884.6,0.3,0.00029,0.0001,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
886.66,0.14,0.00101,0.00019,,1328.2,0.000000000093,440.446,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
897,0.3,0.00031,0.00009,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
1003.58,0.03,0.053,0.003,,1003.605,0.000003706,0.0,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
1045.7,0.09,0.018,0.003,,1045.65,0.000003706,0.0,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
1100.17,0.01,0.252,0.008,,1100.173,0.000003706,0.0,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
1119.4,0.06,0.052,0.002,,1119.38,0.000003706,0.0,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
1328.2,0.3,0.00039,0.00014,,1328.2,0.000003706,0.0,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
12.148,,0.008541970508,0.0008837588357290313,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,A,2.14,0.01,5988,3,81,128,Tl,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2026-09-18
13.292,,1.39209200632099,0.11012211364796938,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
70.832,,0.006137422732725946,0.0007588493810672682,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,A,2.14,0.01,5988,3,81,128,Tl,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2026-09-18
72.874,,0.010360267948558315,0.001280228288091229,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,A,2.14,0.01,5988,3,81,128,Tl,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2026-09-18
76.862,,0.9830852643707163,0.08177350562244742,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
79.29,,1.6371111813001105,0.13600502794517175,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
82.629,,0.003523408110035266,0.0004385292344271625,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,A,2.14,0.01,5988,3,81,128,Tl,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2026-09-18
83.631,,0.00456986031871574,0.0005684995182772467,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,A,2.14,0.01,5988,3,81,128,Tl,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2026-09-18
84.866,,0.001046452208680474,0.00013142924612886237,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,A,2.14,0.01,5988,3,81,128,Tl,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2026-09-18
89.837,,0.5636120500985303,0.0475408124953721,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
90.941,,0.7388953976791732,0.0622622635173231,,,,,,,,,,83,130,Bi,,0,,9/2-,45.59,,6,m,2735.4,3.6,B-,97.86,0.01,1422,5,84,129,Po,1-Jan-2022,M. S. Basunia,2026-09-18
