energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
10.642,0.005,,,0.0000000015,36.66,,26.01,,,,,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
26,,0.0015,0.0005,,26.01,294,0.0,(E2),,,5.94E3,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
36.7,0.1,0.0155,0.0014,0.0000000015,36.66,294,0.0,E2+M1,,,6.E2,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
38.5,0.1,0.0094,0.0008,,38.53,294,0.0,E2,,,863,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
46.2,0.2,0.0039,0.0006,,145.93,0.00000000008,99.62,[E1],,,0.843,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
49.1,0.2,0.0066,0.0007,0.00000000008,150.05,,100.93,(E1),,,0.716,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
57.8,0.2,0.0039,0.0008,0.000000000035,253.56,0.00000000002,195.82,[E1],,,0.463,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
62.9,0.1,0.43,0.02,0.00000000008,99.62,0.0000000015,36.66,M1,,,10.87,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
64.3,0.1,0.041,0.004,,100.93,0.0000000015,36.66,M1+E2,0.45,13,20,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
69.87,0.05,0.0047,0.0012,0.00000000028,108.40,,38.53,E2+M1,,,28,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
71.4,0.3,0.0126,0.0025,0.00000000028,108.40,0.0000000015,36.66,E2+M1,,,25,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
73.5,,0.025,0.007,0.00000000008,99.62,,26.01,E2+M1,,,22,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
73.9,0.1,0.264,0.017,0.00000000016,99.85,,26.01,E1,,,0.240,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
74.6,0.4,0.022,0.007,,100.93,,26.01,M1+E2,0.5,AP,12.3,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
78.8,,0.0107,0.0015,0.000000000035,224.68,,145.93,M1,,,5.1,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
87.4,0.1,0.226,0.013,0.00000000002,195.82,0.00000000028,108.40,M1,,,2.8,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
94.9,0.1,0.084,0.008,0.00000000002,195.82,,100.93,M1(+E2),,,7,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
96.7,0.5,0.028,0.005,0.00000000002,195.82,0.00000000008,99.62,M1+E2,0.7,3,5.4,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
99.6,,0.7,0.06,0.00000000008,99.62,294,0.0,M1+E2,0.18,5,3.04,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
99.8,0.1,1,0.11,0.00000000016,99.85,294,0.0,E1(+M2),,,0.1076,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
100.8,0.2,0.075,0.006,,100.93,294,0.0,M1+E2,,,6,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
103.6,0.2,0.0023,0.0005,0.000000000035,253.56,0.00000000008,150.05,[M1+E2],,,10,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
108.4,0.1,0.216,0.011,0.00000000028,108.40,294,0.0,M1+E2,0.53,13,10.3,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
111.5,0.1,0.264,0.014,0.00000000008,150.05,,38.53,(E1),,,0.363,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
112.8,,0.0018,0.0002,,400.62,,288.14,[M1],,,10.16,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
114,,0.00075,0.0001,,393.28,,279.21,M1,,,13.0,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
119.9,0.1,0.066,0.003,,145.93,,26.01,[E1],,,0.305,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
123.8,0.1,0.072,0.004,0.000000000035,224.68,,100.93,[E1],,,0.282,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
124.8,0.1,0.024,0.001,0.000000000035,224.68,0.00000000016,99.85,M1+E2,,,5.6,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
126.2,0.2,0.007,0.0006,,234.52,0.00000000028,108.40,(E1),,,0.269,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
129.2,0.2,0.0022,0.0004,,279.21,0.00000000008,150.05,[M1 E2],,,5.0,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
133.6,0.1,0.017,0.001,,234.52,,100.93,(E1),,,0.234,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
134.9,0.1,0.027,0.002,,234.52,0.00000000008,99.62,E1,,,0.229,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
137.6,,0.0019,0.0002,,410.3,,272.7,,,,,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
139.6,,0.0012,0.0002,,393.28,0.000000000035,253.56,M1+E2,,,3.2,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
144.7,,0.0004,0.0001,,294.7,0.00000000008,150.05,M1+E2,,,3.5,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
145.2,0.1,0.126,0.006,0.000000000035,253.56,0.00000000028,108.40,E1,,,0.1,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
150.1,0.1,0.6,0.03,0.00000000008,150.05,294,0.0,E1,,,0.1764,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
152.6,0.2,0.019,0.001,0.000000000035,253.56,,100.93,[E1],,,0.1695,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
153.9,0.1,0.182,0.009,0.000000000035,253.56,0.00000000008,99.62,E1,,,0.35,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
157.3,0.2,0.32,0.02,0.00000000002,195.82,,38.53,M1+E2,,,2.7,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
169.1,,0.007,0.001,,393.28,0.000000000035,224.68,[M1 E2],,,2.1,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
169.9,,0.012,0.001,0.00000000002,195.82,,26.01,,,,,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
170.7,0.2,0.017,0.001,,279.21,0.00000000028,108.40,E1,,,0.1291,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
173.4,,0.01,0.001,,,,,,,,,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
178.3,0.2,0.014,0.001,,279.21,,100.93,E1,,,0.1162,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
179.8,0.3,0.0094,0.0006,,288.14,0.00000000028,108.40,[M1 E2],,,1.8,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
183,,0.0073,0.0011,,,,,,,,,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
186.1,,0.011,0.001,0.000000000035,224.68,,38.53,,,,,,89,136,Ac,,0,,(3/2-),9.920,,3,d,857088,259.2,A,100,,5935.1,14,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2026-09-18
