energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
43.498,0.001,0.0392,0.0008,0.000000000252,43.4981,,0.0,E2,,,713,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-18
62.7,0.01,0.00000001,0,,989.430,,926.720,E1,,,0.426,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-18
99.853,0.003,0.00729,0.00008,,143.352,0.000000000252,43.4981,E2,,,13.42,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-18
140.15,0.02,0.000000002,0,,989.430,,849.266,M1+E2,1.3,5,5.1,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-18
152.72,0.002,0.000929,0.000007,,296.072,,143.352,E2,,,2.14,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-18
192.91,0.07,0.00000000064,0.0001,,1044.536,,851.74,[E2],,,0.856,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-18
200.97,0.03,0.0000039,0.0000002,,497.04,,296.072,E2,,,0.734,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-18
203.12,0.03,0.000000008,0,,989.430,,786.288,M1+E2,1.4,4,1.5,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-18
233.6,0.2,,,,1085.26,,851.74,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-18
234.6,0.2,,,,1044.536,,809.907,E0,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-18
