energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
42.824,0.008,0.02635,0.003779761897262842,0.000000000164,42.824,,0,E2,,,1200,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
98.86,0.013,0.0014195,0.0002269142789689534,,141.690,0.000000000164,42.824,E2,,,13,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
152.63,0.02,0.001054,0.00015119047589051368,,294.319,,141.690,E2,,,2.49,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
203.2,,0.0000238,0.000003466237152879185,,497.52,,294.319,[E2],,,0.805,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
251.2,0.2,0.000011135,0.0000019995664530092518,,900.32,,648.85,[E1],,,0.0612,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
263.34,0.15,0.0000595,0.000007158910531638176,,860.71,,597.34,[E1],,,0.0551,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
302.99,0.15,0.00001819,0.0000023577692847265612,,900.32,,597.34,[E1],,,0.0405,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
506.9,0.3,0.0000085,0.000002704163456597992,,648.85,,141.690,[E1],,,0.01402,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
554.5,0.2,0.000085,0.000009,,597.34,0.000000000164,42.824,E1,,,0.01179,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
597.2,0.2,0.00005185,0.000005747181918123003,,597.34,,0,E1,,,0.01024,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
605.8,0.2,0.000007905,0.0000011339285691788527,,648.85,0.000000000164,42.824,[E1],,,0.00997,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
758.6,0.2,0.000013685,0.0000017244784718865006,,900.32,,141.690,E2,,,0.0212,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
817.8,0.2,0.000068,0.000009340369371711164,,860.71,0.000000000164,42.824,E2,,,0.0183,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
857.5,0.2,0.00000561,0.0000006844238452888677,,900.32,0.000000000164,42.824,[M1 E2],,,0.04,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
860.7,,,,,860.71,,0,E0,,,,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
894.7,0.5,,,,937.6,0.000000000164,42.824,,,,,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
900.1,0.5,0.000001275,0.0000005275651618520692,,900.32,,0,[E2],,,0.01513,,96,148,Cm,,0,,0+,18.11,,3,Y,571495929.3998611,946707.77923776,A,100,,5901.60,3,94,146,Pu,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2026-09-18
