energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
43.399,0.025,0.014841,0.000873,0.000000000126,43.40,,0.0,E2,,,1000,,98,154,Cf,,0,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,6216.95,4,96,152,Cm,1-Sep-2014,M. J. MARTIN,2026-09-18
100.2,0.4,0.01261,0.00582,,143.6,0.000000000126,43.40,E2,,,18.4,,98,154,Cf,,0,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,6216.95,4,96,152,Cm,1-Sep-2014,M. J. MARTIN,2026-09-18
155.1,0.2,0.0005238,0,,298.1,,143.6,E2,,,2.73,,98,154,Cf,,0,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,6216.95,4,96,152,Cm,1-Sep-2014,M. J. MARTIN,2026-09-18
207.4,0.2,0.0000291,0.000000000029100000000000002,,505.0,,298.1,E2,,,0.864,,98,154,Cf,,0,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,6216.95,4,96,152,Cm,1-Sep-2014,M. J. MARTIN,2026-09-18
18.579,,5.87228950413778,,,,,,,,,,,98,154,Cf,,0,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,6216.95,4,96,152,Cm,1-Sep-2014,M. J. MARTIN,2026-09-18
104.606,,0.000027567006732622606,,,,,,,,,,,98,154,Cf,,0,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,6216.95,4,96,152,Cm,1-Sep-2014,M. J. MARTIN,2026-09-18
109.286,,0.000043161119042778465,,,,,,,,,,,98,154,Cf,,0,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,6216.95,4,96,152,Cm,1-Sep-2014,M. J. MARTIN,2026-09-18
123.28,,0.00001616493407144891,,,,,,,,,,,98,154,Cf,,0,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,6216.95,4,96,152,Cm,1-Sep-2014,M. J. MARTIN,2026-09-18
124.855,,0.00002185499086459893,,,,,,,,,,,98,154,Cf,,0,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,6216.95,4,96,152,Cm,1-Sep-2014,M. J. MARTIN,2026-09-18
126.917,,0.0000056900567931500165,,,,,,,,,,,98,154,Cf,,0,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,6216.95,4,96,152,Cm,1-Sep-2014,M. J. MARTIN,2026-09-18

