energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1129.67,0.1,2.5,0.2,0.000000000000141,2938.41,0.000000000000476,1808.72,M1+E2,-0.12,2,1.255E-5,,13,13,Al,,0,,5+,7.17E+5,,24,Y,22626315923782.465,757366223390.208,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18
1808.65,0.07,99.76,0.04,0.000000000000476,1808.72,,0.0,E2,,,2.28E-4,,13,13,Al,,0,,5+,7.17E+5,,24,Y,22626315923782.465,757366223390.208,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18
2938,,0.24,0.04,0.000000000000141,2938.41,,0.0,E2,,,7.60E-4,,13,13,Al,,0,,5+,7.17E+5,,24,Y,22626315923782.465,757366223390.208,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18
511,,163.46,,,,,,,,,,,13,13,Al,,0,,5+,7.17E+5,,24,Y,22626315923782.465,757366223390.208,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18
511,,199.8352,,,,,,,,,,,13,13,Al,,228.305,0.013,0+,6.3460,,8,s,6.346,0.0008,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18
0.046,,0.0101434705884126,0.00405890301050139,,,,,,,,,,13,13,Al,,0,,5+,7.17E+5,,24,Y,22626315923782.465,757366223390.208,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18
0.046,,0.00004580586,0.00001832284665582114,,,,,,,,,,13,13,Al,,228.305,0.013,0+,6.3460,,8,s,6.346,0.0008,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18
1.254,,0.15988054322265813,0.005356780256135153,,,,,,,,,,13,13,Al,,0,,5+,7.17E+5,,24,Y,22626315923782.465,757366223390.208,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18
1.254,,0.3177907835870764,0.010529789833058663,,,,,,,,,,13,13,Al,,0,,5+,7.17E+5,,24,Y,22626315923782.465,757366223390.208,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18
1.254,,0.000722120749860318,0.000022829293732213524,,,,,,,,,,13,13,Al,,228.305,0.013,0+,6.3460,,8,s,6.346,0.0008,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18
1.254,,0.0014353423769833393,0.00004481319296406746,,,,,,,,,,13,13,Al,,228.305,0.013,0+,6.3460,,8,s,6.346,0.0008,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-18

