energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
91.266,0.005,7,0.1,,184.577,0.0000091,93.311,M1+E2,0.06,5,0.083,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
93.311,0.005,16.1,0.2,0.0000091,93.311,,0.0,E2,,,0.873,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
99.9,0.5,71,12,0.0000000024,3463.6,,3363.7,M1,,,0.0551,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
184.577,0.01,48.7,0.3,,184.577,,0.0,M1+E2,0.34,4,0.0180,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
208.951,0.01,0.115,0.005,,393.530,,184.577,M1+E2,-0.034,21,0.00913,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
300.219,0.01,0.797,0.011,,393.530,0.0000091,93.311,M1+E2,0.20,8,,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
393.529,0.01,0.22,0.008,,393.530,,0.0,,,,,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
554.2,0.3,25,3,,1669.63,,1115.37,M1,,,0.00080,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
833.1,0.3,48,4,0.0000000003,2502.8,,1669.63,E1,,,0.00017,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
860.9,0.3,100,7,,3363.7,0.0000000003,2502.8,E2,,,0.00040,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
1115.4,0.3,29,4,,1115.37,222588,0,M1,,,0.00018,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
1387.7,0.5,6,2,0.0000000003,2502.8,,1115.37,M2,,,0.00024,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
1669.6,0.3,28,4,,1669.63,222588,0,E2,,,,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
2502.6,0.6,48,6,0.0000000003,2502.8,222588,0,E3,,,,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
0.952,,0.04971153805876,0.008061730417426671,,,,,,,,,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
1.035,,0.212527967845608,0.02022222320588594,,,,,,,,,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
8.028,,0.4741436935014324,0.07997674124611596,,,,,,,,,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
8.048,,0.9237165273746978,0.1557439985116514,,,,,,,,,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
8.616,,1.9691943297928842,0.18890109540272898,,,,,,,,,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
8.639,,3.829627245804909,0.3668967683796375,,,,,,,,,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
8.94,,0.1944423567238697,0.032840903877080094,,,,,,,,,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
8.94,,0.1944423567238697,0.032840903877080094,,,,,,,,,,29,38,Cu,,3463.6,0.7,15/2+,2.4,LT,,ns,0.0000000024,,IT,100,,,,29,38,Cu,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
9.61,,0.8216930172622074,0.07901746162576676,,,,,,,,,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18
9.61,,0.8216930172622074,0.07901746162576676,,,,,,,,,,29,38,Cu,,0,,3/2-,61.83,,12,h,222588,432,B-,100,,560.8,8,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2026-09-18

