energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
227.31,0.15,0.00011914,0.00004831275297475813,,1883.16,,1655.87,(E2),,,0.0300,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
483.35,0.16,0.00026404,0.000029084222526999067,,2821.86,,2338.48,M1+E2,,,0.0017,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
578.52,0.13,0.033488,0.001639952438334722,,1655.87,,1077.36,E2,,,0.001272,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
682.63,0.07,0.00031234,0.00001953792465949237,,2338.48,,1655.87,(E2),,,0.000789,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
805.83,0.08,0.094024,0.002418241509857938,,1883.16,,1077.36,M1+E2,-1.55,5,0.000471,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
938.73,0.06,0.0001771,0.000016184328839961205,,2821.86,,1883.16,M1+E2,-0.7,3,0.000304,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
1077.34,0.05,3.22,0.03,,1077.36,,0.0,E2,,,0.000247,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
1165.92,0.15,0.0000161,0.000009661164526080694,,2821.86,,1655.87,E2,,,0.000211,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
1261.08,0.09,0.094346,0.0021225609531883884,,2338.48,,1077.36,M1+E2,-0.15,2,0.0001725,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
1659,7,0.000013,0.000003,,1655.87,,,E0,,,75E-4,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
1744.42,0.13,0.009499,0.0004910409860693912,,2821.86,,1077.36,M1+E2,0.27,2,0.000241,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
1883.16,0.06,0.136528,0.0028729357806954194,,1883.16,,0.0,(E2),,,0.000333,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
2338.44,0.08,0.001127,0.00016134202800262553,,2338.48,,0.0,(E2),,,0.000529,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
2821.73,0.14,0.00046368,0.000035682471887468786,,2821.86,,0.0,(E2),,,0.000740,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
511,,177.820516,,,,,,,,,,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
1.035,,0.1521654031959389,0.005655615823546982,,,,,,,,,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
8.616,,1.4177792400196458,0.014206459192841098,,,,,,,,,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
8.639,,2.7572525087896653,0.02415808273011152,,,,,,,,,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
9.61,,0.5916019988062794,0.0071424202191151965,,,,,,,,,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18
9.61,,0.5916019988062794,0.007142420219115197,,,,,,,,,,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-18

