energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
129.81,0.02,0.301,0.008,,281.003,0.00000000079,151.195,(M1),,,0.0710,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
129.81,0.02,0.000000434,0.00000001,,280.99,,151.183,(M1),,,0.0710,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828.0411435,441796.963644288,B-,100,,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
151.18,0.03,0.00000217,0.0000013029597077423385,,151.183,,0.0,M1+E2,0.072,4,0.0481,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828.0411435,441796.963644288,B-,100,,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
151.195,0.006,75.2,0.5,0.00000000079,151.195,,0.0,M1+E2,0.072,4,0.0455,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
281.01,0.04,0.000752,0.000005,,281.003,,0.0,(E2),,,0.0227,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
304.87,0.02,14,0.3,16128,304.87,338889828.0411435,0.0,M4,,,0.509,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,IT,21.2,0.5,,,36,49,Kr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
362.81,0.04,0.00000217,0.00000043687069025055916,0.000001015,513.999,,151.183,(E3),,,0.0338,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828.0411435,441796.963644288,B-,100,,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
451,0.1,0.011,0.004,,731.88,,281.003,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
513.997,0.005,0.434,0.01,0.000001015,513.999,,0.0,M2,,,0.00712,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828.0411435,441796.963644288,B-,100,,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
580.6,0.1,0.000752,0.000005,,731.88,0.00000000079,151.195,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
731.6,0.3,0.008,0.003,,731.88,,0.0,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
1.648,,0.168670768,0.00902816367696767,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,IT,21.2,0.5,,,36,49,Kr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
1.767,,0.089,0.003,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
1.767,,0.00008,0.000003,,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828.0411435,441796.963644288,B-,100,,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
12.596,,1.1473380338551893,0.05925798668849677,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,IT,21.2,0.5,,,36,49,Kr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
12.649,,2.212375691969127,0.11376649155030297,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,IT,21.2,0.5,,,36,49,Kr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
13.336,,0.000533,0.000015,,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828.0411435,441796.963644288,B-,100,,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
13.336,,0.592,0.013,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
13.396,,0.00103,0.00003,,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828.0411435,441796.963644288,B-,100,,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
13.396,,1.14,0.02,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
14.169,,0.5301437810462244,0.027618303854384903,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,IT,21.2,0.5,,,36,49,Kr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
14.209,,0.5835822741756838,0.030360600277191827,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,IT,21.2,0.5,,,36,49,Kr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
14.313,,0.05343849312945942,0.003206198749558282,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,IT,21.2,0.5,,,36,49,Kr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
15.021,,0.00025,0.000007,,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828.0411435,441796.963644288,B-,100,,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
15.021,,0.277,0.007,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
15.07,,0.309,0.007,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
15.07,,0.000279,0.000008,,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828.0411435,441796.963644288,B-,100,,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
15.187,,0.000029,0.0000013,,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828.0411435,441796.963644288,B-,100,,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18
15.187,,0.0322,0.0013,,,,,,,,,,36,49,Kr,,304.871,0.02,1/2-,4.480,,8,h,16128,28.8,B-,78.8,0.5,687.0,20,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-09-18

