energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
587.8,0.1,89.62,0.17,249.66,587.8,282276,0.0,(M4),,,0.0467,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,IT,93.77,0.12,,,40,49,Zr,20-Oct-2012,BALRAJ SINGH,2026-09-18
909.15,0.15,99.04,0.03,,909.15,,0,M4+E5,0.00041,4,0.00851,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
1507.4,0.5,6.06,0.18,,1507.4,,0,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,EC+B+,6.23,0.12,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
1620.8,0.2,0.0732896,0.004952049761462419,,2529.97,,909.15,,,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
1657.3,0.2,0.1059728,0.004952104038689009,,2566.47,,909.15,,,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
1713,0.6,0.7447808,0.012877176336448918,,2622.2,,909.15,(M1+E2),,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
1744.5,0.2,0.1228096,0.0039617746528544506,,1744.5,,0,,,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
511,,3.06,,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,EC+B+,6.23,0.12,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
511,,45.48,,,,,,,,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
2.027,,2.3650008021806856,0.05799832740232977,,,,,,,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
2.027,,0.14331243831,0.005386268100529435,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,EC+B+,6.23,0.12,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
2.161,,0.1367703438496,0.003937617083767554,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,IT,93.77,0.12,,,40,49,Zr,20-Oct-2012,BALRAJ SINGH,2026-09-18
14.883,,14.088707695846853,0.11248871990208623,,,,,,,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
14.883,,0.8538792230817229,0.02767799176654855,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,EC+B+,6.23,0.12,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
14.958,,27.015738630578817,0.17249543907306408,,,,,,,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
14.958,,1.6373522973762664,0.05249017666578546,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,EC+B+,6.23,0.12,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
15.691,,0.7614697669212526,0.012820195254243646,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,IT,93.77,0.12,,,40,49,Zr,20-Oct-2012,BALRAJ SINGH,2026-09-18
15.775,,1.4573584055909141,0.023524565374171028,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,IT,93.77,0.12,,,40,49,Zr,20-Oct-2012,BALRAJ SINGH,2026-09-18
16.803,,0.4111188748172324,0.013739631793733184,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,EC+B+,6.23,0.12,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
16.803,,6.7833172408635685,0.07732923778421275,,,,,,,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
16.88,,7.7194150201027405,0.08120211547750383,,,,,,,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
16.88,,0.46785327954201045,0.015499989578863001,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,EC+B+,6.23,0.12,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
17.011,,0.9360977792391725,0.03555579194377618,,,,,,,,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
17.011,,0.05673440472477807,0.0027965240200461348,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,EC+B+,6.23,0.12,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
17.736,,0.3713536156089298,0.006912470871818973,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,IT,93.77,0.12,,,40,49,Zr,20-Oct-2012,BALRAJ SINGH,2026-09-18
17.824,,0.42557124348783354,0.007701013596439467,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,IT,93.77,0.12,,,40,49,Zr,20-Oct-2012,BALRAJ SINGH,2026-09-18
17.968,,0.05421762787890375,0.0021133182941519397,,,,,,,,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,IT,93.77,0.12,,,40,49,Zr,20-Oct-2012,BALRAJ SINGH,2026-09-18

