energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2.1726,0.0004,,,21625.92,142.6836,0.000000000205,140.5110,E3,,,1.4E+10,,42,57,Mo,,0,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,1357.8,9,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-09-18
40.58323,0.00017,1.03822,0.03340127925693865,0.00000000344,181.0939,0.000000000205,140.5110,M1(+E2),0.008,8,3.72,,42,57,Mo,,0,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,1357.8,9,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-09-18
89.4,0.2,0.00305,0.0020743856921990184,,,,,,,,,,42,57,Mo,,0,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,1357.8,9,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-09-18
140.511,0.001,,,0.000000000205,140.5110,6661667073236.371,0,M1+E2,0.13,4,0.113,,42,57,Mo,,0,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,1357.8,9,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-09-18
142.675,0.025,,,21625.92,142.6836,6661667073236.371,0,M4,,,40.2,,42,57,Mo,,0,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,1357.8,9,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-09-18
158.782,0.015,0.017568,0.000767403518365664,0.0000000001,920.637,,761.950,,,,,,42,57,Mo,,0,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,1357.8,9,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-09-18
162.37,0.015,0.011956,0.0006298303263578216,,671.500,,509.125,,,,,,42,57,Mo,,0,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,1357.8,9,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-09-18
181.068,0.008,6.0512,0.11658117172168068,0.00000000344,181.0939,6661667073236.371,0,E2(+M3),-0.002,7,0.1480,,42,57,Mo,,0,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,1357.8,9,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-09-18
242.29,0.08,0.002562,0.0004891553536454446,,1004.075,,761.950,[E1],,,0.01049,,42,57,Mo,,0,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,1357.8,9,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-09-18
249.03,0.03,0.003904,0.0004906785505807238,0.0000000001,920.637,,671.500,,,,,,42,57,Mo,,0,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,1357.8,9,43,56,Tc,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-09-18
